ablation,validation_season,validation_rows,validation_r2_log,validation_rmse_log,test_rows,test_r2_log,test_rmse_log
1_age_position_minutes,2023,534,0.2847597662049661,1.0610801806999695,1048,0.3106787729728865,1.035031974995192
2_plus_performance,2023,534,0.47346895454012417,0.9104041443843224,1048,0.477680002008647,0.9009719438485657
3_plus_club_strength,2023,534,0.5566087863634692,0.835440982663972,1048,0.5634832050637089,0.8236513588316795
