player_id,season,target_log_market_value,season_end,previous_valuation_date,previous_market_value_in_eur,previous_log_value
3333,2024,13.815511557963774,2025-05-25,2024-12-16,1000000.0,13.815511557963774
14086,2024,13.122365377402328,2025-05-25,2024-12-16,500000.0,13.122365377402328
16306,2024,16.118095750958314,2025-05-25,2024-12-16,12000000.0,16.300417291085605
29692,2024,13.122365377402328,2025-05-25,2024-12-16,700000.0,13.45883704259595
43530,2024,13.527829818844936,2025-05-25,2024-12-16,900000.0,13.710151153416941
51471,2024,16.811242881518265,2025-05-25,2025-03-18,25000000.0,17.034386422832473
52570,2024,13.815511557963774,2025-05-25,2024-12-16,1200000.0,13.997832948091215
52769,2024,13.527829818844936,2025-05-25,2024-12-18,1000000.0,13.815511557963774
53622,2024,15.424948670398354,2025-05-25,2025-03-18,7000000.0,15.76142084987672
61841,2024,13.527829818844936,2025-05-25,2024-12-16,1000000.0,13.815511557963774
67063,2024,15.424948670398354,2025-05-25,2024-12-16,5000000.0,15.424948670398354
68390,2024,13.122365377402328,2025-05-25,2024-12-16,500000.0,13.122365377402328
69633,2024,15.201805169084134,2025-05-25,2024-12-16,6000000.0,15.607270193858982
72476,2024,16.118095750958314,2025-05-25,2024-12-16,11000000.0,16.213405921671733
73564,2024,14.220976332738882,2025-05-25,2025-03-18,2000000.0,14.508658238524095
74230,2024,15.424948670398354,2025-05-25,2024-12-16,7000000.0,15.76142084987672
74960,2024,13.815511557963774,2025-05-25,2024-12-16,1000000.0,13.815511557963774
75458,2024,13.815511557963774,2025-05-25,2024-12-16,1500000.0,14.220976332738882
75489,2024,16.118095750958314,2025-05-25,2025-03-18,12000000.0,16.300417291085605
85177,2024,13.815511557963774,2025-05-25,2024-12-16,1500000.0,14.220976332738882
85941,2024,15.894952224644102,2025-05-25,2024-12-16,9000000.0,16.012735246411598
88755,2024,16.811242881518265,2025-05-25,2025-03-18,27000000.0,17.11134746100564
91845,2024,16.811242881518265,2025-05-25,2025-03-18,30000000.0,17.216707972959764
