player_id,season,season_end,valuation_date,target_log_market_value,target_market_value_in_eur,position,sub_position,age_at_valuation,age_squared,minutes_played,goals,assists,yellow_cards,red_cards,appearances,available_minutes,minutes_share,two_year_minutes,goals_per90_last_two,assists_per90_last_two,yellow_cards_per90_last_two,red_cards_per90_last_two,previous_season_points,finishing_position,clubs_in_standings,champions_league_played
3259,2012,2013-05-19,2013-07-02,13.815511557963774,1000000,Midfield,Right Midfield,34.33538672142368,1178.9187813097176,2337.0,3.0,7.0,0.0,0.0,31,3420,0.6833333333333333,2337.0,0.11553273427471117,0.26957637997432604,0.0,0.0,,,,0
3273,2012,2013-05-19,2013-07-02,13.527829818844936,750000,Defender,Centre-Back,34.20670773442848,1170.098854028609,90.0,1.0,0.0,0.0,0.0,1,3420,0.02631578947368421,90.0,1.0,0.0,0.0,0.0,,,,0
3276,2012,2013-05-19,2013-07-02,14.508658238524095,2000000,Attack,Centre-Forward,31.720739219712527,1006.2052966450085,679.0,1.0,2.0,5.0,0.0,23,3420,0.19853801169590643,679.0,0.1325478645066274,0.2650957290132548,0.6627393225331369,0.0,,,,0
3291,2012,2013-05-19,2013-07-02,15.607270193858982,6000000,Midfield,Defensive Midfield,32.35318275154004,1046.7284341545478,2400.0,1.0,4.0,6.0,0.0,31,3420,0.7017543859649122,2400.0,0.0375,0.15,0.225,0.0,,,,1
3306,2012,2013-05-19,2013-07-02,15.424948670398354,5000000,Attack,Right Winger,29.782340862423,886.9878272455506,3310.0,8.0,3.0,4.0,0.0,38,3420,0.9678362573099415,3310.0,0.2175226586102719,0.08157099697885196,0.10876132930513595,0.0,,,,0
3332,2012,2013-05-19,2013-07-02,17.72753358339242,50000000,Attack,Centre-Forward,27.68788501026694,766.6189763417647,2019.0,12.0,10.0,7.0,0.0,27,3420,0.5903508771929824,2019.0,0.5349182763744428,0.4457652303120357,0.31203566121842496,0.0,,,,1
3333,2012,2013-05-19,2013-07-02,16.705882371415992,18000000,Midfield,Central Midfield,27.49075975359343,755.7418718297923,1722.0,4.0,4.0,1.0,1.0,26,3420,0.5035087719298246,1722.0,0.20905923344947736,0.20905923344947736,0.05226480836236934,0.05226480836236934,,,,1
3356,2012,2013-05-19,2013-07-02,13.815511557963774,1000000,Defender,Centre-Back,35.54277891854894,1263.289133252847,2837.0,0.0,2.0,2.0,0.0,34,3420,0.82953216374269,2837.0,0.0,0.06344730348960169,0.06344730348960169,0.0,,,,0
3357,2012,2013-05-19,2013-07-02,13.815511557963774,1000000,Goalkeeper,Goalkeeper,40.73648186173853,1659.4609544717525,3240.0,0.0,0.0,0.0,0.0,36,3420,0.9473684210526315,3240.0,0.0,0.0,0.0,0.0,,,,0
3406,2012,2013-05-19,2013-07-02,13.815511557963774,1000000,Midfield,Left Midfield,39.58932238193019,1567.3144466603985,1167.0,2.0,3.0,0.0,0.0,22,3420,0.3412280701754386,1167.0,0.15424164524421594,0.23136246786632392,0.0,0.0,,,,1
