model,rows,r2_log,rmse_log,mae_log
constant_baseline,1048,-0.2246099699210775,1.3795639457725928,1.1644112160271474
linear_regression,1048,0.3662282695872596,0.9924516819206983,0.7913298263395907
ridge,1048,0.37601776115855146,0.9847569495410881,0.7882476294776796
random_forest,1048,0.4237727446462778,0.9463239652611373,0.7803923706573181
