option,model,rows,r2_log,rmse_log,mae_log
a_season_trend,linear,1048,0.4812631798222231,0.897876237701181,0.6459023177406437
a_season_trend,ridge,1048,0.49126815600092355,0.8891753240987081,0.6351556770248431
b_previous_season_median,linear,1048,0.43789714863573626,0.934653925905752,0.6698578588519307
b_previous_season_median,ridge,1048,0.44774133122721727,0.9264334154511253,0.6610163591958523
b_previous_season_median,random_forest,1048,0.625660130648839,0.76273905177659,0.5717702150199954
